        jday         mon         day          yr   name        type              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
          50           2          19        1997 chandeg m_4_1434           84837.19       118.9427       11.81540       4.394048       151.3756      1.8106017E-02   12.77647       4.008403       2.741614      3.2208428E-10   484.3658       82.28658       20.74051       8.016074       79.85101       69.41544      0.0000000E+00   11.49875    
          51           2          20        1997 chandeg m_4_1434           58774.41       76.64886       4.590404       2.181427       150.1789      3.2216001E-02   3.815437       1.782184       1.185684      8.4766938E-10   319.3909       82.10870       17.15312       8.373381       83.42146       72.55470      0.0000000E+00   15.04625    
          52           2          21        1997 chandeg m_4_1434           44221.09       53.93607       2.413276       1.453518       149.5503      3.6430176E-02  0.5057860      0.9765072      0.6674142      8.6132976E-09   250.0206       83.22136       15.30747       8.706932       86.75500       75.52849      0.0000000E+00   13.26875    
          53           2          22        1997 chandeg m_4_1434           54131.47       70.93166       224.9520       55.86337       249.7341      0.4699696       57.71057       76.53339       44.79265      1.6571872E-09   252.5456       85.34825       19.39122       9.010584       89.78578       78.26961      0.0000000E+00   16.32500    
          54           2          23        1997 chandeg m_4_1434           53557.25       61.01727       46.77903       12.46926       175.4845      0.2076775       39.30346       14.51270       8.689447      2.5856848E-15   355.5352       87.26620       20.49072       9.266236       92.33551       80.56801      0.0000000E+00   12.46250    
          55           2          24        1997 chandeg m_4_1434           45609.90       48.41491       11.45070       3.642803       155.5971      9.9617913E-02   13.51909       3.469446       2.172550      1.4043772E-10   291.6160       87.49716       19.00763       9.345022       93.12048       81.28345      0.0000000E+00   9.233749    
          56           2          25        1997 chandeg m_4_1434           38186.77       39.51891       3.869700       1.634929       149.7488      6.1406117E-02   3.921994       1.354010      0.8926032      1.0616082E-10   232.8358       87.26366       17.08382       9.361440       93.28415       81.43988      0.0000000E+00   10.14875    
          57           2          26        1997 chandeg m_4_1434           33049.69       34.47008       1.931729       1.079426       147.5657      4.8070803E-02   1.894265      0.7637631      0.5392792      1.7052559E-09   208.2451       87.25648       15.63920       9.386420       93.53380       81.66918      0.0000000E+00   8.251250    
          58           2          27        1997 chandeg m_4_1434           39404.92       46.54761       140.6125       33.87324       208.6035      5.5351049E-02   54.93004       45.40256       29.86443      8.4438243E-09   188.8625       87.26514       17.25556       9.395749       93.62656       81.76266      0.0000000E+00   12.54125    
          59           2          28        1997 chandeg m_4_1434           71856.91       124.1422       709.9519       176.6615       240.8580      0.0000000E+00   72.46857       275.1706       164.5995      1.1847084E-09  0.0000000E+00   92.93112       28.03629       9.686170       96.51777       84.43252      0.0000000E+00   19.85000    
          60           3           1        1997 chandeg m_4_1434           152843.4       200.1890       1278.660       319.3975       303.2625      0.0000000E+00   155.6023       424.9881       275.4211      9.5149433E-10   569.3062       113.3734       43.06640       11.07085       110.3232       96.74744      0.0000000E+00   13.73000    
          61           3           2        1997 chandeg m_4_1434           173648.8       183.4993       313.2319       80.78178       252.6238      0.0000000E+00   99.70210       111.3435       71.86122      1.2314081E-15   1110.489       130.4408       46.73437       12.52039       124.7777       109.3533      0.0000000E+00   15.58250    
          62           3           3        1997 chandeg m_4_1434           182760.1       206.2655       690.7006       169.4983       314.2150      0.0000000E+00   122.4258       250.8714       159.6507      5.2940869E-09   791.6770       140.8651       45.18456       13.50996       134.6446       117.8200      0.0000000E+00   16.52750    
          63           3           4        1997 chandeg m_4_1434           268186.2       324.0881       1688.065       419.7536       411.4565      0.0000000E+00   387.2992       506.3100       347.6086      3.4920922E-09   1666.583       165.2418       48.14904       15.45850       154.0877       134.8833      0.0000000E+00   9.286250    
          64           3           5        1997 chandeg m_4_1434           257450.3       285.4553       299.0511       79.14407       335.9301      0.0000000E+00   169.8549       94.05662       64.22228      3.1112183E-15   1837.275       184.7536       47.30449       17.50239       174.4867       152.4849      0.0000000E+00   10.71125    
          65           3           6        1997 chandeg m_4_1434           232661.1       263.5032       681.6768       173.4764       471.9537      0.8586634       165.4073       232.5024       153.3467      8.9874419E-09   1244.403       187.0551       52.43027       18.09523       180.3998       157.3607      0.0000000E+00   13.83875    
          66           3           7        1997 chandeg m_4_1434           175102.2       190.3355       128.0358       34.87352       374.9565      0.4109924       84.13775       39.66358       27.41972      4.2127261E-12   1166.680       188.6952       49.68663       18.73440       186.7813       162.6362      0.0000000E+00   9.657500    
          67           3           8        1997 chandeg m_4_1434           115730.9       122.9878       29.64944       8.986887       350.2292      0.1673346       27.32578       9.563265       6.668046      1.9350508E-09   692.1036       184.7573       42.19327       18.84253       187.8632       163.3323      0.0000000E+00   9.931250    
          68           3           9        1997 chandeg m_4_1434           76526.62       80.39774       8.537044       3.119857       344.1711      8.7982491E-02   9.181391       3.214968       2.233168      3.0504577E-09   417.4566       182.8036       36.30370       18.99780       189.4168       164.5443      0.0000000E+00   13.17125    
          69           3          10        1997 chandeg m_4_1434           56039.41       57.95859       5.485210       2.084950       344.4761      6.4835615E-02   16.44513       1.782100       1.147267      8.1603602E-08   335.9452       184.1321       32.86826       19.33297       192.7670       167.4162      0.0000000E+00   10.08500    
          70           3          11        1997 chandeg m_4_1434           43670.32       45.24583       2.156410       1.173107       342.7433      5.7279877E-02   4.575996      0.9893191      0.7112765      1.5920465E-12   247.6862       186.8098       31.05060       19.70727       196.5078       170.6842      0.0000000E+00   13.23500    
          71           3          12        1997 chandeg m_4_1434           36359.67       38.21363       1.321261      0.8953233       341.7507      5.4713253E-02   2.162111      0.7406787      0.5642816      9.5956365E-10   206.6542       188.8069       30.05034       19.96477       199.0818       172.9530      0.0000000E+00   13.95875    
          72           3          13        1997 chandeg m_4_1434           32272.41       34.37935       1.062208      0.7918376       341.0249      5.3536415E-02  0.5914126      0.6486874      0.5172675      2.5103177E-09   199.6216       190.0458       29.51366       20.12205       200.6544       174.3510      0.0000000E+00   10.01750    
          73           3          14        1997 chandeg m_4_1434           31867.47       32.55266       3.862162       1.358243       344.6349      4.4705629E-02  0.3790403       1.579478       1.173436      4.7171490E-08   207.8498       190.3092       29.17412       20.16787       201.1137       174.7765      0.0000000E+00   11.25875    
