 ceap_07010101             SWAT+ 2025-09-15        MODULAR Rev 2025.61.0.2.5-359-g015381a                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn    plant_cov       mgt_ops                          percn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha                                                      kgha
    47     2    16  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    48     2    17  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    48     2    17  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    48     2    17  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    49     2    18  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    49     2    18  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    49     2    18  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    50     2    19  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    50     2    19  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    50     2    19  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    51     2    20  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    51     2    20  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    51     2    20  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    52     2    21  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    52     2    21  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    52     2    21  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    53     2    22  2000       1       1  HRU_1                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   soyb            null                                 0.000
    53     2    22  2000       2       2  HRU_2                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
    53     2    22  2000       3       3  HRU_3                  0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000   swht            null                                 0.000
